"x" "t" "n" "tb" "tw"
0.2958 0.8662 14200 0.6914 0.9401
0.3757 0.7238 36200 0.4715 0.8762
0.1159 0.5652 6900 0.3759 0.5903
0.0722 0.9139 36000 0.5778 0.9402
0.2558 0.8558 21500 0.71 0.9063
0.5059 0.539 42300 0.3187 0.7657
0.1814 0.6887 40800 0.5955 0.7097
0.1437 0.7006 50100 0.5148 0.732
0.0977 0.5226 26600 0.3471 0.5418
0.3203 0.4219 25600 0.2814 0.4886
0.376 0.704 12500 0.469 0.8463
0.0905 0.8148 24300 0.5464 0.8417
0.0781 0.6484 12800 0.8009 0.6357
0.0496 0.7482 28200 0.5723 0.7576
0.1702 0.7234 4700 9e-04 0.87177633164618
0.044 0.978 9100 1 0.9771
0.3333 0.625 2400 0.5009 0.6876
0.1803 0.7377 24400 0.41 0.8101
0.3714 0.8686 17500 0.7394 0.9456
0.2297 0.7834 99700 0.4594 0.8803
0.5556 0.5758 9900 0.3464 0.8637
0.3714 0.8429 7000 0.6547 0.9546
0.0103 0.7216 9700 9e-04 0.729109831261999
0.3503 0.5188 45100 0.3174 0.6281
0.0775 0.8217 25800 1 0.8068
0.3439 0.6369 31400 0.3713 0.7768
0.0441 0.9118 13600 0.6676 0.9232
0.0125 0.4375 8000 9e-04 0.443037974683544
0.2689 0.605 11900 0.3759 0.6898
0.2294 0.7271 43600 0.5109 0.7918
0.5614 0.7368 5700 0.6259 0.8801
0.1681 0.5061 57100 0.3134 0.5454
0.4634 0.7073 8200 0.5798 0.8183
0.3596 0.8652 8900 0.6884 0.965
0.3731 0.513 19300 0.5981 0.4629
0.4064 0.9198 18700 0.8035 1
0.5593 0.6102 5900 0.4554 0.8078
0.3131 0.6146 113400 0.5361 0.6509
0.1753 0.7113 19400 0.5303 0.7501
0.3373 0.645 16900 0.5272 0.7055
0.3006 0.8208 17300 0.6547 0.8927
0.5969 0.7597 12900 0.5983 1
0.4306 0.7292 14400 0.5654 0.8538
0.3722 0.6767 26600 0.506 0.7785
0.3873 0.669 14200 0.51 0.7702
0.3776 0.9371 14300 0.8342 1
0.481 0.5949 7900 0.3167 0.8538
0.5238 0.7333 10500 0.6554 0.8201
0.3721 0.7442 43000 0.5947 0.8334
0.4472 0.7516 16100 0.6398 0.8428
0.1537 0.6017 121000 0.4794 0.6241
0.2615 0.6615 26000 0.4274 0.7449
0.4659 0.75 8800 0.5863 0.8937
0.212 0.6476 34900 0.5279 0.6801
0.55 0.6667 6000 0.5767 0.7779
0.343 0.7267 17200 0.4416 0.8762
0.2286 0.7857 21000 0.5426 0.8581
0.2556 0.5902 26600 0.4862 0.6264
0.551 0.6837 9800 0.5009 0.9092
0.1429 0.875 33600 0.6467 0.9133
0.5366 0.6829 4100 0.5009 0.8948
0.4873 0.5949 15800 0.4814 0.7038
0.4184 0.7305 14100 0.5263 0.8781
0.2907 0.7035 17200 0.4609 0.8034
0.1 0.6045 22000 0.5009 0.6163
0.5148 0.8107 33800 0.7193 0.9086
0.0909 0.625 26400 0.4592 0.6418
0.2927 0.6186 111700 0.5942 0.6292
0.2911 0.7722 7900 0.6096 0.8394
0.1883 0.6589 90300 0.4656 0.7041
0.4118 0.5267 37400 0.4944 0.5501
0.2426 0.7633 16900 0.5131 0.8439
0.5801 0.7238 18100 0.6199 0.8685
0.2429 0.5714 42000 0.4127 0.6227
